"DateTime";"Hinta"
"2023-04-11 16:00:00";3,02
"2023-04-11 17:00:00";3,89
"2023-04-11 18:00:00";5,28
"2023-04-11 19:00:00";4,93
"2023-04-11 20:00:00";4,46
"2023-04-11 21:00:00";4,33
"2023-04-11 22:00:00";4,18
"2023-04-11 23:00:00";3,86
"2023-04-12 00:00:00";3,51
"2023-04-12 01:00:00";3,74
"2023-04-12 02:00:00";3,85
"2023-04-12 03:00:00";4,01
"2023-04-12 04:00:00";4,24
"2023-04-12 05:00:00";4,33
"2023-04-12 06:00:00";5,1
"2023-04-12 07:00:00";5,3
"2023-04-12 08:00:00";6,35
"2023-04-12 09:00:00";6,54
"2023-04-12 10:00:00";6,01
"2023-04-12 11:00:00";5,5
"2023-04-12 12:00:00";5,83
"2023-04-12 13:00:00";5,53
"2023-04-12 14:00:00";5,11
"2023-04-12 15:00:00";4,3
"2023-04-12 16:00:00";3,84
"2023-04-12 17:00:00";3,54
"2023-04-12 18:00:00";3,87
"2023-04-12 19:00:00";4,08
"2023-04-12 20:00:00";3,58
"2023-04-12 21:00:00";2,99
"2023-04-12 22:00:00";2,78
"2023-04-12 23:00:00";2,18
"2023-04-13 00:00:00";0,77
"2023-04-13 01:00:00";0
"2023-04-13 02:00:00";0
"2023-04-13 03:00:00";0
"2023-04-13 04:00:00";0
"2023-04-13 05:00:00";0
"2023-04-13 06:00:00";0,44
"2023-04-13 07:00:00";2,78
"2023-04-13 08:00:00";3,05
"2023-04-13 09:00:00";3,21
"2023-04-13 10:00:00";3,09
"2023-04-13 11:00:00";3,01
"2023-04-13 12:00:00";2,86
"2023-04-13 13:00:00";2,71
"2023-04-13 14:00:00";2,69
"2023-04-13 15:00:00";2,3
"2023-04-13 16:00:00";2,43
"2023-04-13 17:00:00";2,59
"2023-04-13 18:00:00";2,76
"2023-04-13 19:00:00";2,76
"2023-04-13 20:00:00";2,77
"2023-04-13 21:00:00";2,62
"2023-04-13 22:00:00";2,26
"2023-04-13 23:00:00";1,83
"2023-04-14 00:00:00";1,2
"2023-04-14 01:00:00";0,45
"2023-04-14 02:00:00";1,65
"2023-04-14 03:00:00";2,23
"2023-04-14 04:00:00";2,59
"2023-04-14 05:00:00";2,91
"2023-04-14 06:00:00";3,03
"2023-04-14 07:00:00";3,76
"2023-04-14 08:00:00";4,85
"2023-04-14 09:00:00";5,42
"2023-04-14 10:00:00";5,37
"2023-04-14 11:00:00";4,87
"2023-04-14 12:00:00";4,34
"2023-04-14 13:00:00";4,05
"2023-04-14 14:00:00";3,87
"2023-04-14 15:00:00";3,69
"2023-04-14 16:00:00";3,7
"2023-04-14 17:00:00";3,74
"2023-04-14 18:00:00";3,93
"2023-04-14 19:00:00";4
"2023-04-14 20:00:00";3,74
"2023-04-14 21:00:00";3,5
"2023-04-14 22:00:00";3,24
"2023-04-14 23:00:00";3,12
"2023-04-15 00:00:00";2,95
"2023-04-15 01:00:00";3,1
"2023-04-15 02:00:00";3,1
"2023-04-15 03:00:00";3,14
"2023-04-15 04:00:00";3,29
"2023-04-15 05:00:00";3,56
"2023-04-15 06:00:00";4,18
"2023-04-15 07:00:00";4,3
"2023-04-15 08:00:00";4,53
"2023-04-15 09:00:00";5,51
"2023-04-15 10:00:00";5,5
"2023-04-15 11:00:00";4,83
"2023-04-15 12:00:00";4,55
"2023-04-15 13:00:00";4,46
"2023-04-15 14:00:00";4,4
"2023-04-15 15:00:00";4,41
"2023-04-15 16:00:00";4,47
"2023-04-15 17:00:00";4,53
"2023-04-15 18:00:00";5,04
"2023-04-15 19:00:00";5,7
"2023-04-15 20:00:00";6
"2023-04-15 21:00:00";5,75
"2023-04-15 22:00:00";5,5
"2023-04-15 23:00:00";5,16
"2023-04-16 00:00:00";4,8
"2023-04-16 01:00:00";6,07
"2023-04-16 02:00:00";6,11
"2023-04-16 03:00:00";6,49
"2023-04-16 04:00:00";6,88
"2023-04-16 05:00:00";7,2
"2023-04-16 06:00:00";7,25
"2023-04-16 07:00:00";7,33
"2023-04-16 08:00:00";7,42
"2023-04-16 09:00:00";7,7
"2023-04-16 10:00:00";7,79
"2023-04-16 11:00:00";7,74
"2023-04-16 12:00:00";7,56
"2023-04-16 13:00:00";7,21
"2023-04-16 14:00:00";6,93
"2023-04-16 15:00:00";6,76
"2023-04-16 16:00:00";6,9
"2023-04-16 17:00:00";7,52
"2023-04-16 18:00:00";8,44
"2023-04-16 19:00:00";9,63
"2023-04-16 20:00:00";11,41
"2023-04-16 21:00:00";11,54
"2023-04-16 22:00:00";11,56
"2023-04-16 23:00:00";10,17
"2023-04-17 00:00:00";7,39
"2023-04-17 01:00:00";8,04
